"pop_id","country_code","year","fertility_rate","life_expectancy","size"
116,"ECU",2010,2.656,75.0298048780488,14934692
115,"ECU",2015,2.513,76.1029268292683,16144363
118,"EGY",2010,3.184,70.3402926829268,82040994
117,"EGY",2015,3.314,71.3169512195122,91508084
123,"ERI",2010,4.605,61.4661463414634,4689664
434,"ERI",2015,4.207,64.1009024390244,
357,"ESP",2010,1.37,81.6268292682927,46576897
356,"ESP",2015,1.32,83.3804878048781,46443994
125,"EST",2010,1.72,75.4292682926829,1331475
124,"EST",2015,1.54,77.1317073170732,1314608
127,"ETH",2010,4.903,61.2961219512195,87561814
126,"ETH",2015,4.275,64.5780487804878,99390750
133,"FIN",2010,1.87,79.8707317073171,5363352
132,"FIN",2015,1.71,81.3853658536585,5479531
131,"FJI",2010,2.669,69.3843658536586,859952
130,"FJI",2015,2.54,70.2562682926829,892145
135,"FRA",2010,2.03,81.6634146341463,65027512
134,"FRA",2015,2.01,82.6707317073171,66538391
129,"FRO",2010,2.5,80.6390243902439,48567
128,"FRO",2015,2.4,81.6341463414634,48199
257,"FSM",2010,3.46,68.6122682926829,103619
256,"FSM",2015,3.193,69.234243902439,104460
139,"GAB",2010,4.083,62.1208292682927,1541936
138,"GAB",2015,3.849,64.8903414634146,1725292
411,"GBR",2010,1.92,80.4024390243902,62766365
410,"GBR",2015,1.81,81.6048780487805,65128861
143,"GEO",2010,1.82,74.0024390243902,3926000
142,"GEO",2015,1.815,74.8174146341463,3717100
147,"GHA",2010,4.272,60.6099756097561,24317734
146,"GHA",2015,4.117,61.4917317073171,27409893
149,"GIB",2010,,,30732
148,"GIB",2015,,,32217
161,"GIN",2010,5.337,56.3050487804878,11012406
160,"GIN",2015,4.932,59.1934390243903,12608590
141,"GMB",2010,5.796,59.3406097560976,1693002
140,"GMB",2015,5.674,60.4676829268293,1990924
163,"GNB",2010,5.091,53.8143658536585,1634196
162,"GNB",2015,4.761,55.4673170731707,1844325
122,"GNQ",2010,5.176,55.971,728710
121,"GNQ",2015,4.745,57.9634146341463,845060
151,"GRC",2010,1.48,80.3878048780488,11121341
150,"GRC",2015,1.3,81.5878048780488,10820883
155,"GRD",2010,2.24,72.567512195122,104677
154,"GRD",2015,2.127,73.523,106825
153,"GRL",2010,2.195,70.8570731707317,56905
152,"GRL",2015,2,,56114
159,"GTM",2010,3.434,70.7754634146341,14732261
158,"GTM",2015,3.159,71.9564878048781,16342897
157,"GUM",2010,2.472,78.1008780487805,159440
156,"GUM",2015,2.366,79.379,169885
165,"GUY",2010,2.68,66.0427073170732,753362
164,"GUY",2015,2.532,66.5075121951219,767085
171,"HKG",2010,1.127,82.9780487804878,7024200
170,"HKG",2015,1.195,84.2780487804878,7305700
169,"HND",2010,2.695,72.3939756097561,7503875
168,"HND",2015,2.332,73.3331219512195,8075060
98,"HRV",2010,1.55,76.4756097560976,4417781
97,"HRV",2015,1.46,77.2756097560976,4203604
167,"HTI",2010,3.325,61.2401219512195,9999617
166,"HTI",2015,2.973,63.073756097561,10711067
173,"HUN",2010,1.25,74.2073170731707,10000023
172,"HUN",2015,1.44,75.9609756097561,9843028
179,"IDN",2010,2.513,68.1471951219512,241613126
178,"IDN",2015,2.437,69.0716829268293,257563815
187,"IMN",2010,,,84327
186,"IMN",2015,,,87780
177,"IND",2010,2.622,66.5061463414634,1230984504
176,"IND",2015,2.395,68.3485609756098,1311050527
185,"IRL",2010,2.05,80.7439024390244,4560155
184,"IRL",2015,1.94,81.5024390243902,4643740
181,"IRN",2010,1.765,73.9831707317073,74253373
180,"IRN",2015,1.685,75.5913414634147,79109272
183,"IRQ",2010,4.659,68.4901219512195,30868156
182,"IRQ",2015,4.515,69.5902682926829,36423395
175,"ISL",2010,2.2,81.8975609756098,318041
174,"ISL",2015,1.93,82.8609756097561,330815
189,"ISR",2010,3.03,81.6024390243903,7623600
188,"ISR",2015,3.09,82.0512195121951,8380100
191,"ITA",2010,1.46,82.0365853658537,59277417
190,"ITA",2015,1.37,83.490243902439,60730582
193,"JAM",2010,2.174,74.8474878048781,2741253
192,"JAM",2015,2.025,75.7981707317073,2793335
197,"JOR",2010,3.553,73.4358292682927,6517912
196,"JOR",2015,3.366,74.2033414634146,7594547
195,"JPN",2010,1.39,82.8426829268293,128070000
194,"JPN",2015,1.46,83.8436585365854,126958472
199,"KAZ",2010,2.6,68.2953658536585,16321581
198,"KAZ",2015,2.73,72,17544126
201,"KEN",2010,4.629,58.7186097560976,40328313
