"lang_id","code","name","percent","official"
164,"CYM","Filipino",3.3,FALSE
165,"CYM","Other",1.7,FALSE
166,"CYM","unspecified",0.1,FALSE
167,"CAF","French",,TRUE
168,"CAF","Sangho",,FALSE
169,"CAF","tribal",,FALSE
170,"TCD","French",,TRUE
171,"TCD","Arabic",,TRUE
172,"TCD","Sara",,FALSE
173,"TCD","Other",,FALSE
174,"CHL","Spanish",99.5,TRUE
175,"CHL","English",10.2,FALSE
176,"CHL","indigenous",1,FALSE
177,"CHL","Other",2.3,FALSE
178,"CHL","unspecified",0.2,FALSE
179,"CHN","Mandarin",,TRUE
180,"CHN","Yue",,FALSE
181,"CHN","Wu",,FALSE
182,"CHN","Minbei",,FALSE
183,"CHN","Minnan",,FALSE
184,"CHN","Xiang",,FALSE
185,"CHN","Gan",,FALSE
186,"CHN","Hakka",,FALSE
187,"CHN","Other",,FALSE
188,"CXR","English",,TRUE
189,"CXR","Chinese",,FALSE
190,"CXR","Malay",,FALSE
191,"CCK","Malay",,FALSE
192,"CCK","English",,FALSE
193,"COL","Spanish",,TRUE
194,"COM","Arabic",,TRUE
195,"COM","French",,TRUE
196,"COM","Shikomoro",,TRUE
197,"COD","French",,TRUE
198,"COD","Lingala",,FALSE
199,"COD","Kingwana",,FALSE
200,"COD","Kikongo",,FALSE
201,"COD","Tshiluba",,FALSE
202,"COG","French",,TRUE
203,"COG","Lingala",,FALSE
204,"COG","Other",,FALSE
205,"COK","English",86.4,TRUE
206,"COK","Rarotongan",76.2,TRUE
207,"COK","Other",8.3,FALSE
208,"CRI","Spanish",,TRUE
209,"CRI","English",,FALSE
210,"CIV","French",,TRUE
211,"CIV","Other",,FALSE
212,"HRV","Croatian",95.6,TRUE
213,"HRV","Serbian",1.2,FALSE
214,"HRV","Other",3,FALSE
215,"HRV","unspecified",0.2,FALSE
216,"CUB","Spanish",,TRUE
217,"CYP","Greek",80.9,TRUE
218,"CYP","Turkish",0.2,TRUE
219,"CYP","English",4.1,FALSE
220,"CYP","Romanian",2.9,FALSE
221,"CYP","Russian",2.5,FALSE
222,"CYP","Bulgarian",2.2,FALSE
223,"CYP","Arabic",1.2,FALSE
224,"CYP","Filipino",1.1,FALSE
225,"CYP","Other",4.3,FALSE
226,"CYP","unspecified",0.6,FALSE
227,"DNK","Danish",,FALSE
228,"DNK","Faroese",,FALSE
229,"DNK","Greenlandic",,FALSE
230,"DNK","German",,FALSE
231,"DJI","French",,TRUE
232,"DJI","Arabic",,TRUE
233,"DJI","Somali",,FALSE
234,"DJI","Afar",,FALSE
235,"DMA","English",,TRUE
236,"DMA","French patois",,FALSE
237,"DOM","Spanish",,TRUE
238,"ECU","Spanish",93,TRUE
239,"ECU","Quechua",4.1,FALSE
240,"ECU","Other",0.7,FALSE
241,"ECU","foreign",2.2,FALSE
242,"EGY","Arabic",,TRUE
243,"EGY","English",,FALSE
244,"SLV","Spanish",,TRUE
245,"SLV","Nawat",,FALSE
246,"GNQ","Spanish",67.6,TRUE
247,"GNQ","Other",,TRUE
248,"GNQ","Fang",,FALSE
249,"GNQ","Bubi",32.4,FALSE
250,"ERI","Tigrinya",,TRUE
251,"ERI","Arabic",,TRUE
252,"ERI","English",,TRUE
253,"ERI","Tigre",,FALSE
254,"ERI","Kunama",,FALSE
255,"ERI","Afar",,FALSE
256,"ERI","Other",,FALSE
257,"EST","Estonian",68.5,TRUE
258,"EST","Russian",29.6,FALSE
259,"EST","Ukrainian",0.6,FALSE
260,"EST","Other",1.2,FALSE
261,"EST","unspecified",0.1,FALSE
262,"ETH","Oromo",33.8,TRUE
263,"ETH","Amharic",29.3,TRUE
264,"ETH","Somali",6.2,TRUE
265,"ETH","Tigrigna",5.9,TRUE
266,"ETH","Sidamo",4,FALSE
267,"ETH","Wolaytta",2.2,FALSE
268,"ETH","Gurage",2,FALSE
269,"ETH","Afar",1.7,TRUE
270,"ETH","Hadiyya",1.7,FALSE
271,"ETH","Gamo",1.5,FALSE
272,"ETH","Gedeo",1.3,FALSE
273,"ETH","Opuuo",1.2,FALSE
274,"ETH","Kafa",1.1,FALSE
275,"ETH","Other",8.1,FALSE
276,"ETH","English",,FALSE
277,"ETH","Arabic",,FALSE
278,"FRO","Faroese",93.8,FALSE
279,"FRO","Danish",3.2,FALSE
280,"FRO","Other",3,FALSE
281,"FIN","Finnish",88.3,TRUE
282,"FIN","Swedish",5.3,TRUE
283,"FIN","Russian",1.4,FALSE
284,"FIN","Other",5,FALSE
285,"FRA","French",100,TRUE
286,"FRA","Provencal",,FALSE
287,"FRA","Breton",,FALSE
288,"FRA","Alsatian",,FALSE
289,"FRA","Corsican",,FALSE
290,"FRA","Catalan",,FALSE
291,"FRA","Basque",,FALSE
292,"FRA","Flemish",,FALSE
293,"FRA","Occitan",,FALSE
294,"FRA","Picard",,FALSE
295,"FRA","French",,FALSE
296,"FRA","Creole patois",,FALSE
297,"FRA","Mahorian",,FALSE
298,"PYF","French",70,TRUE
299,"PYF","Polynesian",28.2,TRUE
300,"PYF","Other",1.8,FALSE
301,"GAB","French",,TRUE
302,"GAB","Fang",,FALSE
303,"GAB","Myene",,FALSE
304,"GAB","Nzebi",,FALSE
305,"GAB","Bapounou/Eschira",,FALSE
306,"GAB","Bandjabi",,FALSE
307,"GMB","English",,TRUE
308,"GMB","Mandinka",,FALSE
309,"GMB","Wolof",,FALSE
310,"GMB","Fula",,FALSE
311,"GMB","Other",,FALSE
312,"GEO","Georgian",87.6,TRUE
313,"GEO","Azeri",6.2,FALSE
314,"GEO","Armenian",3.9,FALSE
315,"GEO","Russian",1.2,FALSE
316,"GEO","Other",1,FALSE
317,"DEU","German",,TRUE
318,"GHA","Asante",16,FALSE
319,"GHA","Ewe",14,FALSE
320,"GHA","Fante",11.6,FALSE
321,"GHA","Boron",4.9,FALSE
322,"GHA","Dagomba",4.4,FALSE
323,"GHA","Dangme",4.2,FALSE
324,"GHA","Dagarte",3.9,FALSE
325,"GHA","Kokomba",3.5,FALSE
326,"GHA","Akyem",3.2,FALSE
327,"GHA","Ga",3.1,FALSE
328,"GHA","Other",31.2,FALSE
329,"GIB","English",,TRUE
330,"GIB","Spanish",,FALSE
331,"GIB","Italian",,FALSE
332,"GIB","Portuguese",,FALSE
